brand,model,version,type,price,color,transmission,doors,mileage,city,state,fabYear,modelYear,date
CHEVROLET,CRUZE,1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO,U,104390.0,Branco,Automática,4,38883.0,Serra,Espírito Santo (ES),2022,2023,2024-05-28
AUDI,RS E-TRON GT,ELÉTRICO QUATTRO,U,568900.0,Cinza,Automática,4,17353.0,Curitiba,Paraná (PR),2021,2022,2024-05-28
VOLVO,XC40,P8 RECHARGE ELECTRIC BEV PURE AWD,U,239900.0,Vermelho,Automática,4,17258.0,Curitiba,Paraná (PR),2021,2022,2024-05-28
AUDI,A4,2.0 TFSI MHEV S LINE S TRONIC,U,249990.0,Azul,Automática,4,13300.0,Barueri,São Paulo (SP),2022,2023,2024-05-28
PORSCHE,PANAMERA,2.9 V6 E-HYBRID 4 SPORT TURISMO PDK,U,769000.0,Verde,Automática,4,13392.0,São Paulo,São Paulo (SP),2021,2022,2024-05-28
NISSAN,LEAF,B12P 40 ELÉTRICO,U,159899.0,Vermelho,Automática,4,14000.0,Florianópolis,Santa Catarina (SC),2022,2023,2024-05-28
AUDI,Q5,2.0 TFSI GASOLINA AMBIENTE S TRONIC,U,162990.0,Preto,Automática,4,56700.0,Barueri,São Paulo (SP),2018,2018,2024-05-28
PORSCHE,911,3.0 24V H6 GASOLINA CARRERA PDK,U,998000.0,Prata,Automática,2,1549.0,São Paulo,São Paulo (SP),2023,2024,2024-05-28
MERCEDES-BENZ,GLC 43 AMG,3.0 V6 GASOLINA 4MATIC 9G-TRONIC,U,439800.0,Azul,Automática,4,22670.0,São Paulo,São Paulo (SP),2019,2020,2024-05-28
AUDI,Q8,3.0 TFSI GASOLINA PERFORMANCE BLACK QUATTRO TIPTRONIC,U,599900.0,Preto,Automática,4,21000.0,São Paulo,São Paulo (SP),2021,2022,2024-05-28
JEEP,COMPASS,1.3 T270 TURBO FLEX LONGITUDE AT6,U,152990.0,Branco,Automática,4,9600.0,São Caetano do Sul,São Paulo (SP),2022,2022,2024-05-28
AUDI,A5,2.0 TFSI GASOLINA SPORTBACK PRESTIGE PLUS S TRONIC,U,254900.0,Azul,Automática,4,37706.0,Curitiba,Paraná (PR),2021,2022,2024-05-28
PORSCHE,911,3.0 24V H6 GASOLINA CARRERA GTS PDK,U,720000.0,Azul,Automática,2,17379.0,São Paulo,São Paulo (SP),2018,2018,2024-05-28
PORSCHE,911,3.8 24V H6 GASOLINA TURBO PDK,U,1479000.0,Prata,Automática,2,503.0,São Paulo,São Paulo (SP),2023,2023,2024-05-28
RAM,2500,6.7 I6 TURBO DIESEL LARAMIE CD 4X4 AUTOMÁTICO,U,349000.0,Preto,Automática,4,62000.0,Patrocínio,Minas Gerais (MG),2021,2021,2024-05-28
MERCEDES-BENZ,C 180,1.6 CGI FLEX AVANTGARDE 9G-TRONIC,U,170890.0,Azul,Automática,4,40291.0,Osasco,São Paulo (SP),2020,2020,2024-05-28
MITSUBISHI,OUTLANDER,2.0 16V GASOLINA 4P AUTOMÁTICO,U,118990.0,Marrom,CVT,4,57000.0,São Caetano do Sul,São Paulo (SP),2018,2018,2024-05-28
AUDI,A4,2.0 TFSI ATTRACTION GASOLINA 4P S TRONIC,U,109990.0,Preto,Automática,4,65000.0,Barueri,São Paulo (SP),2016,2017,2024-05-28
LAND ROVER,DISCOVERY SPORT,2.0 D180 TURBO DIESEL S AUTOMÁTICO,U,209500.0,Branco,Automática,4,59900.0,Uberlândia,Minas Gerais (MG),2020,2020,2024-05-28
PORSCHE,911,3.8 24V H6 GASOLINA TURBO S PDK,U,1700000.0,Preto,Automática,2,1141.0,São Paulo,São Paulo (SP),2023,2023,2024-05-28
VOLVO,XC40,2.0 T5 GASOLINA R-DESIGN AWD GEARTRONIC,U,175900.0,Preto,Automática,4,79712.0,Curitiba,Paraná (PR),2018,2019,2024-05-28
VOLKSWAGEN,JETTA,2.0 TSI HIGHLINE 211CV GASOLINA 4P TIPTRONIC,U,90900.0,Branco,Automática,4,121250.0,Osasco,São Paulo (SP),2016,2016,2024-05-28
PORSCHE,MACAN,2.0 TURBO GASOLINA T PDK,U,629000.0,Preto,Automática,4,413.0,São Paulo,São Paulo (SP),2023,2024,2024-05-28
MERCEDES-BENZ,GLB 200,1.3 CGI GASOLINA PROGRESSIVE 7G-DCT,U,244990.0,Preto,Automática,4,40383.0,Belo Horizonte,Minas Gerais (MG),2021,2021,2024-05-28
